Город,Номер,Название,Адрес,Статус,Проверено,Пост,Анкет,Тип,Иконка,Вид,Категория,Существует,Ансамбль,Здание,Материал,Состояние,Год,Табличка ОКН
Каменск-Уральский,661710946880005,Училище мужское,"г. Каменск-Уральский, ул. Ленина, д. 128",Готово,да,https://t.me/monitoringokn/638,1,Памятник,Домик,"Домик, Общественное, Учебное",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),середина XIX в,нет
Каменск-Уральский,661710946910005,"Дом, где в 1942-1943 гг. жил писатель И.А. Новиков","г. Каменск-Уральский, ул. Ленина, д. 151",Готово,да,https://t.me/monitoringokn/977,1,Памятник,Домик,"Домик, Жилой",Памятник истории,Да,Нет,Здание,Деревянный,Удовлетворительное (требуется текущий ремонт),1860-е,нет
Каменск-Уральский,661710946940005,"Дом, в котором жил председатель Каменского ревкома И.И. Кесарев","г. Каменск-Уральский, ул. Ленина, д. 146",Готово,да,https://t.me/monitoringokn/980,1,Памятник,Домик,"Домик, Жилой",Памятник истории,Да,Нет,Здание,Деревянный,Удовлетворительное (требуется текущий ремонт),конец XIX в,нет
Каменск-Уральский,661710946980005,Дом жилой,"г. Каменск-Уральский, ул. Пионерская, д. 32",Готово,да,https://t.me/monitoringokn/556,1,Памятник,Домик,"Домик, Жилой",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),,нет
Каменск-Уральский,661710974820005,"Здание, в котором в 1917 г. была провозглашена в Каменске Советская власть","г. Каменск-Уральский, ул. Ленина, д. 111",Готово,Да,https://t.me/monitoringokn/601,1,Памятник,Домик,"Домик, Жилой",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),вторая половина XIX в,нет
Каменск-Уральский,661710974840005,Покровская церковь,"г. Каменск-Уральский, ул. Революционная, д. 45",Готово,да,https://t.me/monitoringokn/543,1,Памятник,Церковь,Церковь,Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),1883,нет
Каменск-Уральский,661710974950015,Дом жилой,"г. Каменск-Уральский, ул. Алюминиевая, д. 12",Проверяем,не загружено,"A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: failed to send message #6 with the error message ""PHOTO_INVALID_DIMENSIONS""",1,Памятник,Многоэтажка,"Конструктивизм, Домина, Жилой, Многоквартирый",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),1937,нет
Каменск-Уральский,661710974950025,Дом жилой,"г. Каменск-Уральский, ул. Строителей, д. 10",Проверяем,не загружено,"A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: failed to send message #3 with the error message ""PHOTO_INVALID_DIMENSIONS""",1,Памятник,Многоэтажка,"Конструктивизм, Домина, Жилой, Многоквартирый",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),1937,нет
Каменск-Уральский,661710974950035,Дом жилой,"г. Каменск-Уральский, ул. Каменская, д. 9",Проверяем,не загружено,"A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: failed to send message #2 with the error message ""PHOTO_INVALID_DIMENSIONS""",1,Памятник,Многоэтажка,"Конструктивизм, Домина, Жилой, Многоквартирый",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),1937,нет
Каменск-Уральский,661710974950045,Дом жилой,"г. Каменск-Уральский, ул. Исетская, д. 11",Проверяем,не загружено,"A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: failed to send message #3 with the error message ""PHOTO_INVALID_DIMENSIONS""",1,Памятник,Многоэтажка,"Конструктивизм, Домина, Жилой, Многоквартирый",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),1937,нет
Каменск-Уральский,661710976340015,Конюшня,"г. Каменск-Уральский, ул. Ленина, д. 127",Готово,да,https://t.me/monitoringokn/648,1,Памятник,Сарай,"Конюшня, Хозпостройка",Памятник градостроительства и архитектуры,Да,Нет,Здание,Деревянный,"Большая часть разрушена, руины",конец XIX в,нет
Каменск-Уральский,661710976340025,Дом жилой,"г. Каменск-Уральский, ул. Ленина, д. 127",Готово,да,https://t.me/monitoringokn/644,1,Памятник,Домик,"Домик, Жилой",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),конец XIX в,нет
Каменск-Уральский,661710976340035,Хозяйственная постройка,"г. Каменск-Уральский, ул. Ленина, д. 127",Готово,да,https://t.me/monitoringokn/651,1,Памятник,Сарай,Хозпостройка,Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Частично разрушен,конец XIX в,нет
Каменск-Уральский,661710976340045,Склад зерновой,"г. Каменск-Уральский, ул. Ленина, д. 127",Готово,да,https://t.me/monitoringokn/655,1,Памятник,Сарай,"Хозпостройка, склад",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Неудовлетворительное / плохое (требуется капитальный ремонт),конец XIX в,нет
Каменск-Уральский,661710976360015,Преображенская церковь,"г. Каменск-Уральский, ул. Кирова, д. 18",Готово,да,https://t.me/monitoringokn/2062,1,Памятник,Церковь,Церковь,Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),1861-1878,нет
Каменск-Уральский,661710976360025,Корпус келий с трапезной,"г. Каменск-Уральский, ул. Кирова, д. 18, корпус 2",Готово,да,https://t.me/monitoringokn/2053,1,Памятник,Домик,Длинный домик,Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),1858-1866,нет
Каменск-Уральский,661710976360035,Сторожка,"г. Каменск-Уральский, ул. Кирова, д. 18, корпус 1",Готово,да,https://t.me/monitoringokn/2072,1,Памятник,Сарай,Хозпостройка,Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),1860-1870,нет
Каменск-Уральский,661710976370005,Магазин провиантский Каменского казенного чугунолитейного завода. Дом культуры,"г. Каменск-Уральский, пл. Соборная",Готово,да,https://t.me/monitoringokn/629,1,Памятник,Дворец,"Домина, общественное",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Неудовлетворительное / плохое (требуется капитальный ремонт),"18,281,958",нет
Каменск-Уральский,661710976380015,Дом жилой,"г. Каменск-Уральский, ул. Ленина, д. 102",Готово,да,https://t.me/monitoringokn/587,1,Памятник,Домик,"Домик, Жилой, Усадьба",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),конец XIX В,нет
Каменск-Уральский,661710976380025,Магазин,"г. Каменск-Уральский, ул. Ленина, д. 100, лит. А",Готово,да,https://t.me/monitoringokn/583,1,Памятник,Домик,"Домик, Лавка, Магазин",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),конец XIX в,нет
Каменск-Уральский,661710976380035,Постройка хозяйственная,"г. Каменск-Уральский, ул. Ленина, д. 100, лит. Б",Готово,да,https://t.me/monitoringokn/593,1,Памятник,Сарай,Хозпостройка,Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),конец XIX в,нет
Каменск-Уральский,661710976390015,Дом жилой,"г. Каменск-Уральский, ул. Ленина, д. 95",Готово,да,https://t.me/monitoringokn/2006,1,Памятник,Домик,"Домик, Лавка, Магазин",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Нормальное / хорошее (ремонт не требуется),вторая половина XIX в,есть
Каменск-Уральский,661710976390025,Корпус обувной фабрики,"г. Каменск-Уральский, ул. Ленина, д. 95",Готово,да,https://t.me/monitoringokn/2012,1,Памятник,Домик,"Домик, длинный",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Нормальное / хорошее (ремонт не требуется),вторая половина XIX в,есть
Каменск-Уральский,661710983680015,Корпус южный,"г. Каменск-Уральский, ул. Ленина, д. 118, 120",Готово,да,https://t.me/monitoringokn/1038,1,Памятник,Домик,"Домик, Лавка, Магазин",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),1820-1840,нет
Каменск-Уральский,661710983680025,Корпус северный,"г. Каменск-Уральский, ул. Революционная, д. 2",Готово,да,https://t.me/monitoringokn/1043,1,Памятник,Домик,"Домик, Лавка, Магазин",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),1820-1840,нет
Каменск-Уральский,661710983690015,Лавка,"г. Каменск-Уральский, ул. Ленина, д. 103",Проверяем,повтор 3 раза,https://t.me/monitoringokn/632,1,Памятник,Домик,"Домик, Лавка, Магазин",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),конец XIX в,нет
Каменск-Уральский,661710983690025,Дом жилой,"г. Каменск-Уральский, ул. Ленина, д. 101",Готово,да,https://t.me/monitoringokn/1992,1,Памятник,Домик,"Домик, Лавка, Магазин",Памятник градостроительства и архитектуры,Да,Нет,Здание,Деревянный,Удовлетворительное (требуется текущий ремонт),конец XIX в,нет
Каменск-Уральский,661710983700015,"Постройка хозяйственная. (Здание, в котором в 1917-1918 гг. находился штаб Красной Гвардии, здесь же была организована первая комсомольская оранизация в городе)","г. Каменск-Уральский, ул. Ленина, д. 119",Готово,да,https://t.me/monitoringokn/1015,1,Памятник,Сарай,Хозпостройка,Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Неудовлетворительное / плохое (требуется капитальный ремонт),,нет
Каменск-Уральский,661710983700025,"Здание, в котором в 1917-1918 гг. находился штаб Красной Гвардии, здесь же была организована первая комсомольская организация в городе","г. Каменск-Уральский, ул. Ленина, д. 119",Готово,да,https://t.me/monitoringokn/1019,1,Памятник,Сарай,Хозпостройка,Памятник истории,Да,Нет,Здание,Каменный,Частично разрушен,,нет
Каменск-Уральский,661710983730005,Церковь Покрова Пресвятой Богородицы,"г. Каменск-Уральский, ул. Февральской революции (бывшая деревня Волкова)",Готово,да,https://t.me/monitoringokn/516,1,Памятник,Церковь,Церковь,Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Нормальное / хорошее (ремонт не требуется),1918,нет
Каменск-Уральский,661710995120005,Вокзал железнодорожный,"г. Каменск-Уральский, ул. Привокзальная",Готово,да,https://t.me/monitoringokn/2108,1,Памятник,Дворец,"Вокзал, советский, ампир, домина",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Нормальное / хорошее (ремонт не требуется),1952,есть
Каменск-Уральский,661711097860005,"Дом, в котором жил первый председатель Каменского Совета рабочих и солдатских депутатов Я.Ф. Прокопьев","г. Каменск-Уральский, ул. Прокопьева, д. 26",Проверяем,,https://t.me/monitoringokn/2080,1,Памятник,Домик,"Утрачен, Домик, Деревянный",Памятник истории,Нет (не осталось никаких следов),,,,,,
Каменск-Уральский,661711097870015,Изба кучерская,"г. Каменск-Уральский, ул. Пионерская, д. 8, строение 1",Готово,да,https://t.me/monitoringokn/995,1,Памятник,Домик,"Домик, Жилой, Усадьба",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),1870-1880 гг,нет
Каменск-Уральский,661711097870025,Дом жилой,"г. Каменск-Уральский, ул. Ленина, д. 117",Готово,да,https://t.me/monitoringokn/1007,1,Памятник,Домик,"Домик, Жилой, Усадьба",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),1870-1880 гг,нет
Каменск-Уральский,661720820900005,"Комплекс ""Соцгород Трубный""",г. Каменск-Уральский,Готово,да,https://t.me/monitoringokn/2102,1,Ансамбль,Ансамбль,"Конструктивизм, многоквартирный, домина",Памятник градостроительства и архитектуры,Да,Да,,,,1937,
Каменск-Уральский,661720974950005,"Комплекс ""Городок алюминщиков"" (ЦЖС)",г. Каменск-Уральский,Готово,да,https://t.me/monitoringokn/1316,1,Ансамбль,Ансамбль,"Конструктивизм, многоквартирный, домина",Памятник градостроительства и архитектуры,Да,Да,,,,1937,
Каменск-Уральский,661720976330005,"Училище женское, магазин","г. Каменск-Уральский, ул. Ленина, д. 113",Проверяем,,https://t.me/monitoringokn/1052,1,Ансамбль,Ансамбль,"Общественное, учебное, домина",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),начало XX в,есть
Каменск-Уральский,661720976340005,Усадьба купца Воробьева,"г. Каменск-Уральский, ул. Ленина, д. 127",Готово,да,https://t.me/monitoringokn/665,1,Ансамбль,Ансамбль,"Домик, Жилой, Усадьба",Памятник градостроительства и архитектуры,Да,Да,,,,конец XIX в,
Каменск-Уральский,661720976350005,"Спортивный комплекс ""Салют"" и Дворец пионеров","г. Каменск-Уральский, ул. Каменская, д. 33, д. 34",Проверяем,,https://t.me/monitoringokn/536,1,Ансамбль,Ансамбль,"Общественное, домина, советский",Памятник градостроительства и архитектуры,Да,Да,,,,1950-1962 гг,
Каменск-Уральский,661720976360005,Преображенский женский монастырь,"г. Каменск-Уральский, ул. Кирова, д. 18",Готово,да,https://t.me/monitoringokn/2077,1,Ансамбль,Ансамбль,,Памятник градостроительства и архитектуры,Да,Да,,,,1858-1878,
Каменск-Уральский,661720976380005,Усадьба купцов Зыряновых,"г. Каменск-Уральский, ул. Ленина, 102 (лит.А,Б)",Готово,да,https://t.me/monitoringokn/596,1,Ансамбль,Ансамбль,,Памятник градостроительства и архитектуры,Да,Да,,,,конец XIX в,
Каменск-Уральский,661720976390005,Усадьба Шамариных,"г. Каменск-Уральский, ул. Ленина, д. 95",Готово,да,https://t.me/monitoringokn/2018,1,Ансамбль,Ансамбль,,Памятник градостроительства и архитектуры,Да,Да,,,,вторая половина XIX в,
Каменск-Уральский,661720983680005,Гостиный двор,"г. Каменск-Уральский, ул. Ленина, д. 118, 120",Готово,да,https://t.me/monitoringokn/1049,1,Ансамбль,Ансамбль,,Памятник градостроительства и архитектуры,Да,Да,,,,1820-1840,
Каменск-Уральский,661720983690005,Усадьба купца Косякова,"г. Каменск-Уральский, ул. Ленина",Готово,да,https://t.me/monitoringokn/1996,1,Ансамбль,Ансамбль,,Памятник градостроительства и архитектуры,Да,Да,,,,конец XIX в,
Каменск-Уральский,661720983700005,Усадьба смотрителя завода,"г. Каменск-Уральский, ул. Ленина, д. 119",Готово,да,https://t.me/monitoringokn/1023,1,Ансамбль,Ансамбль,,Памятник градостроительства и архитектуры,Да,Да,,,,,
Каменск-Уральский,661721097870005,Усадьба управляющего заводом,"г. Каменск-Уральский, ул. Ленина, д. 117, ул. Пионерская, д. 8, строение 1",Готово,да,https://t.me/monitoringokn/1013,1,Ансамбль,Ансамбль,,Памятник градостроительства и архитектуры,Да,Да,,,,,
